CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion
8039,69,Male,141835,Referral,Conversion,3360.96,0.131,0.1561,20,1.7001,1.175,1,13,0,0,2885,1
8040,20,Female,57538,Email,Conversion,4101.22,0.2758,0.0955,24,1.0684,11.2471,13,4,7,3,1476,1
8041,54,Female,25833,Social Media,Conversion,9087.27,0.0223,0.0986,39,8.7832,2.3389,49,14,3,1,3243,1
8042,68,Female,142893,SEO,Retention,5313.32,0.2426,0.0212,46,8.8666,10.1246,10,9,9,9,3513,1
8043,24,Male,43386,SEO,Retention,5705.13,0.0497,0.1856,21,2.2906,8.5533,33,5,9,0,913,0
8044,38,Male,136981,Referral,Conversion,1844.71,0.0612,0.1709,13,3.6794,9.6828,37,15,8,8,2136,1
8045,26,Male,120349,Social Media,Awareness,5036.73,0.1484,0.0856,7,8.6554,7.8757,91,15,3,0,284,1
8046,56,Female,119341,Email,Retention,9190.27,0.1247,0.1553,23,1.7539,0.6889,38,18,7,1,4275,1
8047,35,Female,91778,Social Media,Consideration,5631.31,0.151,0.0695,2,8.7678,4.1717,21,2,7,8,3388,1
8048,21,Female,114240,Referral,Consideration,2625.65,0.2826,0.1488,11,6.1721,13.3322,41,19,0,7,883,1
8049,42,Female,127955,SEO,Retention,408.69,0.2006,0.1082,46,6.9155,13.9744,96,17,4,9,3404,1
8050,31,Female,44832,Referral,Consideration,3429.39,0.0942,0.0975,21,6.3534,1.9095,94,18,3,9,4788,1
8051,67,Female,97857,PPC,Conversion,5768.65,0.0601,0.0207,15,6.2428,14.3131,56,1,3,9,4720,1
8052,26,Male,58930,SEO,Consideration,521.87,0.1318,0.1934,6,2.6655,10.2226,77,8,8,3,2124,1
8053,43,Male,52407,Referral,Retention,6136.95,0.141,0.1691,17,3.1245,13.8771,37,0,2,1,3219,1
8054,19,Female,24073,Email,Awareness,5281.8,0.1844,0.1607,44,6.2205,6.3169,8,3,7,7,4930,1
8055,37,Male,37667,Email,Consideration,7856.01,0.0871,0.0679,22,4.6126,1.9753,87,3,8,2,1977,1
8056,45,Male,36035,Email,Consideration,385.99,0.2326,0.065,25,5.8716,4.8856,28,5,7,9,3851,1
8057,64,Female,26732,PPC,Awareness,7830.39,0.0386,0.1189,37,3.2803,10.5004,68,5,3,0,336,1
8058,24,Female,75097,Social Media,Retention,5256.68,0.1725,0.1708,1,5.1744,12.0307,41,18,1,1,465,1
8059,61,Male,23487,Email,Awareness,3768.24,0.1908,0.1876,1,2.2906,1.2268,59,7,9,3,3434,1
8060,25,Female,120488,PPC,Consideration,9657.29,0.07,0.0611,21,1.3456,7.5608,38,7,6,0,1035,1
8061,64,Female,77702,Email,Retention,1685.18,0.2495,0.1254,37,9.56,1.4333,90,19,2,5,2604,1
8062,52,Female,146671,PPC,Conversion,5459.12,0.1885,0.1475,41,7.5075,13.0224,71,12,5,3,716,1
8063,31,Male,114961,Email,Retention,3277.72,0.1973,0.053,27,5.4826,7.4069,92,8,2,5,3979,1
8064,34,Male,132194,Social Media,Retention,5322.12,0.1543,0.0874,16,5.9591,13.7649,59,18,3,4,824,1
8065,53,Female,105107,Referral,Conversion,5567.53,0.2738,0.0456,47,5.6006,1.6394,52,6,1,3,125,1
8066,67,Female,49075,Email,Retention,985.54,0.2112,0.1428,17,9.0893,5.2918,75,19,4,6,643,1
8067,57,Female,127721,Referral,Consideration,6645.24,0.1207,0.1741,1,7.9627,10.3098,7,7,9,6,4051,1
8068,21,Female,91031,Email,Consideration,6381.37,0.0792,0.1767,34,3.9263,4.757,20,10,6,3,4280,1
8069,19,Male,104217,Social Media,Consideration,7717.73,0.0306,0.1373,14,2.9637,12.7026,55,2,1,3,3849,1
8070,23,Male,34781,Referral,Consideration,997.52,0.058,0.076,14,1.5988,14.8091,47,16,4,3,1328,1
8071,59,Female,59865,PPC,Conversion,3042.86,0.2979,0.1356,43,2.3301,4.5777,46,4,5,7,558,1
8072,21,Male,28469,Email,Consideration,6536.09,0.128,0.1742,44,5.4106,5.7356,8,5,5,4,2761,1
8073,46,Male,65167,Email,Retention,1453.64,0.2706,0.1289,33,2.8231,14.5265,77,14,1,4,2918,1
8074,35,Female,144866,PPC,Awareness,6808.22,0.0595,0.0884,49,3.8115,5.6919,0,8,1,8,3483,1
8075,43,Male,101738,Social Media,Conversion,684.36,0.1334,0.1848,14,2.2,8.5618,54,18,1,9,11,1
8076,61,Male,39928,SEO,Conversion,3415.82,0.2886,0.1687,17,9.3053,11.654,30,5,2,5,2751,1
8077,51,Female,96521,Email,Awareness,8482.44,0.0364,0.1777,12,1.3035,6.856,79,7,1,3,1964,1
8078,27,Male,59599,PPC,Consideration,7765.48,0.1823,0.1816,37,4.1663,5.9028,90,11,8,6,4031,1
8079,53,Male,36775,SEO,Consideration,6483.13,0.2766,0.0848,7,3.3234,7.686,10,15,9,7,65,1
8080,31,Female,86504,Email,Retention,8717.54,0.2854,0.1733,15,1.0747,11.803,65,19,4,6,1998,1
8081,48,Female,95918,Referral,Consideration,7121.77,0.2553,0.1184,19,9.3574,5.0264,59,2,8,5,590,1
8082,65,Male,90687,PPC,Consideration,5241.81,0.2582,0.0173,25,3.8225,5.5867,30,15,7,1,220,1
8083,32,Female,46804,Referral,Retention,9799.2,0.1991,0.1308,34,5.5205,3.2425,49,14,4,4,4394,1
8084,25,Male,129122,Social Media,Consideration,6979.08,0.0739,0.0994,16,6.2435,10.6735,59,10,6,5,928,1
8085,31,Female,52259,SEO,Awareness,6053.54,0.2219,0.0623,25,6.4943,13.542,87,5,1,1,1884,1
8086,40,Female,145725,PPC,Consideration,4147.82,0.2937,0.1944,17,5.1423,3.1932,61,1,9,8,1530,1
8087,57,Female,106284,Email,Awareness,9033.88,0.1625,0.0205,43,6.3445,1.0015,38,6,9,9,932,1
8088,38,Female,105227,Email,Awareness,3027.52,0.0856,0.1897,6,7.7658,6.0284,2,15,6,3,3472,1
8089,33,Male,117556,SEO,Awareness,191.27,0.1763,0.0403,43,9.5688,6.4472,57,0,4,4,3242,1
8090,62,Male,63560,Referral,Consideration,2047.73,0.2103,0.0816,34,6.9133,9.865,67,12,5,4,3897,1
8091,35,Female,47256,Referral,Consideration,1184.22,0.0704,0.0893,11,5.1601,1.7411,29,3,8,6,1288,1
8092,64,Male,26125,PPC,Conversion,3258.04,0.2186,0.1489,46,5.0014,12.4117,66,0,7,8,2324,1
8093,41,Male,24370,PPC,Retention,8276.2,0.1804,0.051,48,7.3887,8.8228,67,4,1,8,2368,1
8094,43,Female,24838,Referral,Retention,6550.14,0.1876,0.1974,43,6.6433,8.4166,57,15,9,5,3006,1
8095,42,Female,134479,PPC,Conversion,1772.91,0.0987,0.1523,40,4.7835,5.0873,76,18,5,8,72,1
8096,62,Female,77429,Referral,Awareness,7909.34,0.055,0.1601,0,4.023,5.7964,52,11,0,3,3482,1
8097,58,Male,23134,SEO,Retention,5091.78,0.1908,0.0302,24,9.9383,1.3037,13,8,7,4,205,1
8098,46,Female,130995,PPC,Conversion,5175.87,0.18,0.1005,15,7.9012,11.4294,9,5,0,4,2595,1
8099,32,Male,63199,Referral,Awareness,3684.91,0.108,0.1897,14,2.861,9.2687,77,8,1,4,3514,1
8100,62,Male,97092,PPC,Conversion,8659.7,0.0958,0.0613,10,3.6295,14.6582,80,1,3,0,2398,1
8101,18,Female,144925,Email,Consideration,3251.44,0.1107,0.0376,36,9.0432,5.6266,21,0,9,6,4525,1
8102,42,Male,53822,Email,Consideration,1031.98,0.1521,0.1022,38,6.9475,10.1605,62,9,1,5,1506,1
8103,24,Male,113513,Social Media,Awareness,3097.02,0.2927,0.1868,2,3.7968,13.8334,60,2,4,2,1821,1
8104,26,Female,40113,Referral,Awareness,7182.0,0.2314,0.1025,44,4.2779,10.8194,45,17,6,7,272,1
8105,41,Male,83594,Social Media,Consideration,6610.06,0.257,0.0869,44,4.4102,1.0845,36,11,6,5,360,1
8106,18,Male,116102,Referral,Retention,1961.37,0.1566,0.1336,41,2.6767,9.6674,20,14,9,8,4403,1
8107,61,Male,22669,PPC,Retention,1206.66,0.1626,0.188,38,5.6005,8.4082,88,13,4,6,3502,1
8108,25,Female,69427,Referral,Consideration,6642.57,0.0693,0.0193,19,7.8901,7.74,2,9,2,7,2395,1
8109,41,Female,101617,Email,Retention,6796.13,0.2191,0.0391,22,6.0765,8.5191,18,5,4,8,2647,1
8110,28,Female,32938,PPC,Consideration,3724.88,0.1323,0.0352,14,6.9035,7.1782,31,19,3,5,3426,1
8111,68,Female,25717,Email,Conversion,8443.73,0.2253,0.0262,17,6.3585,10.5316,78,19,5,7,603,1
8112,34,Female,97818,PPC,Conversion,9784.23,0.1286,0.0674,38,1.5301,0.7162,23,11,0,1,3469,1
8113,25,Female,67659,Referral,Conversion,2135.89,0.0415,0.0536,34,2.6925,3.2341,72,8,0,0,4643,0
8114,52,Male,127601,Referral,Retention,5812.98,0.0602,0.1143,28,4.1531,5.7981,73,3,7,8,162,1
8115,52,Male,84575,Email,Conversion,152.93,0.2454,0.0722,19,9.0031,7.0637,47,3,5,9,1669,1
8116,50,Female,99737,SEO,Awareness,7159.24,0.085,0.087,41,4.1382,2.3921,95,1,8,5,1981,1
8117,22,Male,36289,Referral,Awareness,4201.39,0.0867,0.189,14,3.9441,12.3921,57,6,9,9,4669,1
8118,59,Female,44406,SEO,Conversion,2013.37,0.2795,0.0396,31,1.7253,13.9762,39,10,0,9,2597,1
8119,56,Female,142688,PPC,Awareness,7547.0,0.2007,0.0838,11,9.7487,11.3926,6,15,6,2,4820,1
8120,58,Female,116822,SEO,Conversion,8125.42,0.0431,0.0588,47,8.0069,13.9679,45,9,0,2,3803,1
8121,45,Female,32873,Email,Conversion,1200.55,0.0516,0.1143,11,7.8933,11.2767,90,14,6,7,3336,1
8122,24,Female,145812,Social Media,Consideration,505.86,0.089,0.1499,24,4.4533,6.8953,14,1,6,2,4108,1
8123,26,Male,102048,Social Media,Conversion,3407.38,0.1823,0.1652,33,1.7053,6.2004,84,11,7,9,3310,1
8124,25,Female,114463,Email,Awareness,6297.31,0.2283,0.1079,7,3.3717,2.9128,73,14,4,5,4974,1
8125,29,Female,43461,Social Media,Retention,7954.85,0.0896,0.1724,23,8.6761,1.7535,86,10,7,5,3606,1
8126,51,Female,40710,Email,Conversion,5506.02,0.2625,0.1592,44,2.6227,3.6845,4,9,9,4,4652,1
8127,50,Male,105488,Referral,Consideration,5849.41,0.0417,0.0398,0,9.0482,8.216,58,2,4,6,2863,1
8128,65,Male,33448,SEO,Awareness,8018.6,0.0702,0.0566,24,5.8218,2.4567,69,7,8,3,596,1
8129,40,Male,35198,Social Media,Consideration,5335.55,0.2914,0.1376,33,7.4308,14.2919,21,19,7,9,1084,1
8130,41,Female,93158,Referral,Conversion,6150.43,0.0491,0.1952,13,5.0828,3.6683,27,19,6,5,2530,1
8131,54,Female,126384,Social Media,Conversion,5210.55,0.2676,0.0815,35,9.3908,12.5877,53,4,6,0,3755,1
8132,52,Male,87938,PPC,Conversion,8816.54,0.2141,0.0537,5,3.1569,12.3729,18,10,2,2,458,1
8133,61,Female,70799,Email,Conversion,2431.61,0.0312,0.1751,44,6.1519,2.5475,13,11,5,6,40,1
8134,57,Male,121860,Email,Awareness,2713.54,0.1503,0.0479,8,1.622,10.8058,47,19,5,8,2601,1
8135,39,Female,114003,Referral,Retention,1366.82,0.1605,0.1425,47,5.3238,12.4497,6,10,4,0,819,1
8136,44,Female,54961,PPC,Conversion,8212.72,0.2803,0.0165,0,9.7544,13.3222,78,5,1,3,3124,1
8137,52,Male,63007,SEO,Consideration,4176.6,0.1321,0.0136,8,1.7932,14.3327,31,7,9,6,3120,1
8138,18,Female,85470,PPC,Awareness,3544.15,0.1396,0.0958,23,5.5605,13.9865,21,12,6,9,189,1
8139,52,Female,72256,PPC,Awareness,9815.35,0.0426,0.1347,38,6.4208,5.0115,45,14,4,8,2995,1
8140,54,Female,40739,SEO,Awareness,9275.35,0.1954,0.0371,17,9.3857,4.381,84,1,1,7,2856,1
8141,64,Female,104054,SEO,Consideration,9722.68,0.0712,0.1551,47,3.6767,6.2642,82,5,3,1,2962,1
8142,31,Female,78186,PPC,Retention,1508.76,0.0325,0.0345,38,5.5265,7.2426,12,19,0,1,1913,0
8143,20,Male,46547,Social Media,Consideration,8923.39,0.2991,0.1114,17,9.8848,3.8913,21,1,7,8,1910,1
8144,18,Female,114472,Social Media,Consideration,3354.23,0.0882,0.0686,40,7.9212,1.7482,9,14,4,1,318,0
8145,22,Female,105823,PPC,Consideration,225.3,0.0509,0.1529,27,8.2937,10.0205,43,0,7,9,4579,1
8146,43,Female,138301,Social Media,Conversion,3973.85,0.2129,0.1628,1,8.0246,3.0265,23,10,0,6,4662,1
8147,31,Male,126887,SEO,Conversion,5141.04,0.2483,0.0226,36,5.637,13.766,58,7,7,9,3096,1
8148,56,Male,71431,SEO,Consideration,1171.38,0.0286,0.0466,40,4.9092,4.6714,61,8,4,8,2876,1
8149,44,Male,45476,Social Media,Consideration,5423.01,0.0406,0.1796,35,3.2933,3.3665,71,14,6,7,252,1
8150,26,Male,98411,SEO,Conversion,8212.69,0.0362,0.089,47,5.1937,3.3153,71,4,2,4,4,1
8151,32,Male,30686,Email,Conversion,3838.74,0.0236,0.1006,23,1.1845,4.6973,54,8,2,1,3395,0
8152,32,Female,37536,SEO,Retention,3591.18,0.2012,0.0419,34,1.874,9.3764,48,3,8,5,2692,1
8153,43,Male,54062,PPC,Consideration,3454.22,0.1806,0.199,5,3.5853,14.6856,49,9,6,6,3824,1
8154,59,Male,68216,Referral,Awareness,9238.64,0.2022,0.1854,16,4.0027,7.5509,18,3,5,9,399,1
8155,30,Female,45041,Social Media,Retention,582.71,0.1566,0.0104,29,7.3677,9.1953,81,4,3,6,858,1
8156,68,Male,51653,Social Media,Awareness,4506.25,0.2471,0.1146,7,2.5444,12.7177,57,18,4,4,2699,1
8157,49,Male,41673,SEO,Retention,2719.53,0.1685,0.1757,41,8.162,5.3435,96,12,7,9,4216,1
8158,56,Male,30367,SEO,Consideration,8948.69,0.2764,0.0918,9,8.2072,3.1082,47,10,0,8,2497,1
8159,66,Male,39629,Referral,Awareness,1050.92,0.1508,0.093,15,6.2833,6.7876,92,11,1,5,2503,1
8160,69,Female,140756,Referral,Conversion,4173.28,0.2393,0.0821,37,5.4235,5.121,95,13,2,9,2986,1
8161,49,Male,131641,PPC,Retention,4127.48,0.1281,0.0155,25,5.2066,13.0589,71,12,4,8,225,1
8162,21,Female,108636,Email,Awareness,8895.1,0.1362,0.1602,30,4.7849,14.6801,95,3,7,7,3180,1
8163,47,Female,92190,PPC,Retention,2233.39,0.2562,0.0968,7,1.7972,10.4806,11,12,4,9,3224,1
8164,54,Female,45063,Social Media,Consideration,6484.46,0.0412,0.1109,34,6.899,9.9795,85,4,4,8,4269,1
8165,40,Female,39322,SEO,Awareness,1430.62,0.1738,0.0586,33,6.1957,10.8562,19,8,5,0,1775,1
8166,56,Female,104546,PPC,Awareness,9544.36,0.2206,0.159,9,1.1419,7.2812,44,0,8,1,4941,1
8167,62,Female,135637,SEO,Awareness,5970.85,0.2276,0.1608,39,2.8243,9.6175,25,11,8,7,927,1
8168,32,Male,32693,SEO,Retention,6299.94,0.1815,0.1151,43,4.9269,1.5333,80,16,8,5,412,1
8169,60,Male,29241,PPC,Conversion,4394.36,0.1399,0.1819,11,9.1118,7.655,97,0,4,0,3631,1
8170,46,Female,49778,PPC,Conversion,3488.6,0.0856,0.032,40,9.9125,5.3193,30,18,5,9,3666,1
8171,53,Male,122379,Referral,Conversion,2205.5,0.2737,0.1595,26,7.7619,1.2711,81,4,6,0,3396,1
8172,30,Male,32651,Email,Consideration,6079.48,0.1172,0.1161,18,7.7441,8.3993,58,11,2,0,3426,1
8173,49,Female,45966,Referral,Awareness,9550.16,0.2417,0.0539,25,4.7375,5.7237,2,11,0,2,3060,1
8174,24,Female,29275,Email,Conversion,3661.93,0.0192,0.0351,14,6.1386,9.0639,17,10,1,8,3550,1
8175,68,Male,65606,PPC,Conversion,8843.25,0.0773,0.0672,30,3.0954,7.9411,83,15,3,5,3789,1
8176,39,Female,21658,Email,Awareness,1572.89,0.1102,0.1727,45,7.6434,4.5052,20,16,8,1,2545,1
8177,45,Male,114499,Social Media,Consideration,9367.65,0.2048,0.1596,36,1.5381,8.3298,56,2,0,7,3047,1
8178,19,Female,92468,Referral,Retention,3569.81,0.1026,0.1326,17,4.7552,5.9922,98,10,5,9,1407,1
8179,59,Male,34248,Referral,Retention,3859.3,0.022,0.0272,28,8.4823,13.8562,41,16,3,2,409,1
8180,62,Male,44437,Referral,Retention,4682.14,0.0604,0.1914,43,9.8187,5.9467,61,0,5,0,3031,1
8181,23,Female,59727,SEO,Awareness,7210.62,0.0852,0.068,26,7.269,1.0822,29,14,1,9,126,1
8182,45,Female,38201,SEO,Consideration,7224.57,0.0611,0.1253,37,2.7754,11.5718,60,8,1,5,315,1
8183,45,Female,61150,PPC,Awareness,4847.93,0.0691,0.1626,19,6.1397,14.4734,35,17,6,3,1148,1
8184,61,Female,135148,PPC,Retention,5279.21,0.233,0.0352,20,6.0446,2.9561,54,0,4,5,2248,1
8185,61,Male,109891,SEO,Conversion,397.1,0.1295,0.1339,28,9.6919,14.6054,3,5,5,7,3438,1
8186,37,Female,34999,Referral,Conversion,3112.54,0.1275,0.0161,42,8.5617,9.4493,14,1,3,3,4419,1
8187,47,Male,140703,SEO,Conversion,3525.57,0.2903,0.0293,14,1.4411,12.7871,70,4,0,3,855,0
8188,28,Male,26376,Email,Retention,5631.4,0.1395,0.1474,21,2.9808,7.357,95,2,7,5,1886,1
8189,45,Male,71673,Referral,Consideration,5627.17,0.279,0.0395,22,8.5773,9.5266,96,4,0,1,4203,1
8190,42,Female,23476,SEO,Retention,7128.01,0.0967,0.0943,3,9.7522,12.6953,56,7,7,2,1278,1
8191,56,Female,137393,PPC,Awareness,7198.57,0.1262,0.0572,23,3.652,14.7506,62,5,0,1,3056,1
8192,50,Female,89902,SEO,Consideration,2428.59,0.1249,0.09,13,7.2166,3.1796,76,10,9,8,1032,1
8193,18,Female,134510,Social Media,Conversion,7724.85,0.1684,0.0247,36,3.7702,13.5318,63,10,9,3,1552,1
8194,44,Male,111269,SEO,Consideration,294.08,0.1794,0.1534,20,1.3699,10.1754,16,10,3,2,1529,1
8195,69,Female,97994,Referral,Consideration,7190.0,0.082,0.025,42,8.4653,14.2295,52,7,5,1,50,1
8196,30,Female,82878,SEO,Retention,1110.4,0.2401,0.1692,38,7.6496,5.1125,39,5,0,0,844,0
8197,58,Male,118331,PPC,Consideration,7323.52,0.154,0.1359,12,1.4797,4.0176,69,15,8,1,523,1
8198,20,Female,40615,Email,Retention,5318.47,0.012,0.0892,18,2.3092,5.8001,49,19,6,3,882,1
8199,56,Male,31164,Social Media,Awareness,4428.82,0.1815,0.1746,25,9.9958,13.3252,67,19,0,3,2141,1
8200,23,Female,59316,Referral,Consideration,6937.6,0.2414,0.0454,35,6.8569,7.1647,14,2,9,6,3012,1
8201,25,Female,88560,PPC,Consideration,460.07,0.0826,0.0603,43,8.2039,14.2964,71,7,1,2,1764,1
8202,44,Female,49559,Social Media,Consideration,2312.36,0.021,0.0361,45,4.4976,4.0139,33,12,4,6,2956,1
8203,26,Male,82968,SEO,Conversion,6202.76,0.2441,0.0825,32,5.6642,3.6979,29,9,2,3,1014,1
8204,54,Male,86800,Social Media,Retention,8487.43,0.2931,0.1975,39,6.5789,10.3369,86,7,0,8,780,1
8205,50,Male,29047,Email,Retention,3872.97,0.0322,0.0406,15,8.2542,4.7291,72,9,4,6,155,0
8206,68,Male,64985,Social Media,Conversion,2661.74,0.282,0.1679,18,4.0502,2.3727,23,12,7,1,4216,1
8207,59,Male,92123,Social Media,Retention,5235.49,0.1142,0.1339,36,7.0504,5.9511,7,2,0,8,4398,1
8208,61,Female,26577,SEO,Awareness,6260.92,0.283,0.013,13,7.9809,4.3594,56,3,5,8,446,1
8209,41,Female,103171,SEO,Conversion,4259.02,0.1982,0.1895,43,8.2462,6.4882,69,15,0,1,3419,1
8210,32,Female,131100,Referral,Retention,8779.44,0.2682,0.1945,43,5.4932,3.2044,24,2,7,7,1404,1
8211,49,Female,23870,SEO,Awareness,5282.04,0.2379,0.1857,29,5.2603,14.3763,76,8,4,6,3153,1
8212,49,Male,54094,Social Media,Retention,454.65,0.0181,0.1053,30,1.9408,12.1239,33,18,2,0,2301,0
8213,41,Female,75329,Email,Conversion,2308.23,0.029,0.0519,19,5.4795,12.6931,24,11,7,0,1720,1
8214,58,Male,29217,SEO,Retention,4561.41,0.1625,0.0843,43,7.3174,4.818,17,5,9,7,2906,1
8215,69,Female,135049,Referral,Awareness,7007.48,0.0476,0.1267,42,9.2853,12.923,72,3,7,9,2689,1
8216,66,Female,103138,Referral,Awareness,2275.55,0.1437,0.082,46,2.1268,9.0664,96,13,2,4,4126,1
8217,66,Female,86141,Social Media,Awareness,9764.95,0.2868,0.1446,6,9.72,1.3226,69,0,6,8,3798,1
8218,69,Male,42343,SEO,Retention,3253.73,0.0955,0.1612,41,3.1067,2.7223,13,7,0,2,2072,1
8219,29,Female,148307,SEO,Conversion,5371.55,0.1518,0.0498,36,2.5828,6.9665,5,18,2,2,3106,1
8220,56,Female,70822,Referral,Retention,287.77,0.1214,0.0869,46,2.0307,6.2099,81,15,6,7,1749,1
8221,19,Male,33003,SEO,Consideration,8860.42,0.1926,0.192,1,9.9112,12.0315,89,7,2,4,3873,1
8222,20,Female,128793,Social Media,Conversion,7909.46,0.0662,0.0575,21,6.0492,13.1682,35,4,6,0,2220,1
8223,66,Female,79538,Email,Consideration,2035.03,0.0854,0.0758,12,3.4354,13.0415,35,7,2,8,534,1
8224,54,Female,52089,Social Media,Retention,9339.04,0.259,0.0168,45,3.8578,5.9417,74,16,2,1,3945,1
8225,66,Male,73595,SEO,Conversion,3226.81,0.2453,0.0731,37,9.5524,9.7187,17,5,1,6,2138,1
8226,34,Male,103197,Social Media,Consideration,6952.64,0.2389,0.0805,30,9.0997,7.7078,14,2,4,7,3657,1
8227,66,Male,102318,PPC,Retention,8207.87,0.2336,0.029,0,4.1499,13.3893,93,19,0,3,783,1
8228,19,Male,50029,PPC,Conversion,7435.05,0.1432,0.0103,46,1.5723,13.3901,88,10,3,2,3651,1
8229,19,Male,99023,SEO,Awareness,9184.07,0.2214,0.1193,42,8.5017,1.2811,15,12,3,0,625,1
8230,45,Male,71324,SEO,Awareness,8656.32,0.1223,0.0673,12,9.2298,8.796,75,18,9,9,397,1
8231,40,Female,71962,Email,Awareness,9946.65,0.0392,0.0134,16,8.5378,7.8003,13,19,2,6,3919,1
